免费勿扫(二姨生日快乐),#genre#
黑屏按左右换源(二姨生日快乐),https://amg00793-amg00793c6-xumo-us-2669.playouts.now.amagi.tv/BBCStudios-BBCEarthA-hls/playlist1080p.m3u8$famelack
黑屏按左右换源(二姨生日快乐),https://aegis-cloudfront-1.tubi.video/bb1fc6ad-9948-42ea-aaf3-20acfcdeecac/playlist1080p.m3u8$publiciptv
黑屏按左右换源(二姨生日快乐),https://aegis-cloudfront-1.tubi.video/bb1fc6ad-9948-42ea-aaf3-20acfcdeecac/playlist720p.m3u8$publiciptv
广告勿信(二姨生日快乐),https://amg00793-amg00793c6-xumo-us-2669.playouts.now.amagi.tv/BBCStudios-BBCEarthA-hls/playlist1080p.m3u8$famelack
广告勿信(二姨生日快乐),https://aegis-cloudfront-1.tubi.video/bb1fc6ad-9948-42ea-aaf3-20acfcdeecac/playlist1080p.m3u8$publiciptv
广告勿信(二姨生日快乐),https://aegis-cloudfront-1.tubi.video/bb1fc6ad-9948-42ea-aaf3-20acfcdeecac/playlist720p.m3u8$publiciptv
卡顿按左右换源(二姨生日快乐),https://amg00793-amg00793c6-xumo-us-2669.playouts.now.amagi.tv/BBCStudios-BBCEarthA-hls/playlist1080p.m3u8$famelack
卡顿按左右换源(二姨生日快乐),https://aegis-cloudfront-1.tubi.video/bb1fc6ad-9948-42ea-aaf3-20acfcdeecac/playlist1080p.m3u8$publiciptv
卡顿按左右换源(二姨生日快乐),https://aegis-cloudfront-1.tubi.video/bb1fc6ad-9948-42ea-aaf3-20acfcdeecac/playlist720p.m3u8$publiciptv
弹码按左右换源(二姨生日快乐),https://amg00793-amg00793c6-xumo-us-2669.playouts.now.amagi.tv/BBCStudios-BBCEarthA-hls/playlist1080p.m3u8$famelack
弹码按左右换源(二姨生日快乐),https://aegis-cloudfront-1.tubi.video/bb1fc6ad-9948-42ea-aaf3-20acfcdeecac/playlist1080p.m3u8$publiciptv
弹码按左右换源(二姨生日快乐),https://aegis-cloudfront-1.tubi.video/bb1fc6ad-9948-42ea-aaf3-20acfcdeecac/playlist720p.m3u8$publiciptv
按菜单可选线路(二姨生日快乐),https://amg00793-amg00793c6-xumo-us-2669.playouts.now.amagi.tv/BBCStudios-BBCEarthA-hls/playlist1080p.m3u8$famelack
按菜单可选线路(二姨生日快乐),https://aegis-cloudfront-1.tubi.video/bb1fc6ad-9948-42ea-aaf3-20acfcdeecac/playlist1080p.m3u8$publiciptv
按菜单可选线路(二姨生日快乐),https://aegis-cloudfront-1.tubi.video/bb1fc6ad-9948-42ea-aaf3-20acfcdeecac/playlist720p.m3u8$publiciptv
小画面比例填充(二姨生日快乐),https://amg00793-amg00793c6-xumo-us-2669.playouts.now.amagi.tv/BBCStudios-BBCEarthA-hls/playlist1080p.m3u8$famelack
小画面比例填充(二姨生日快乐),https://aegis-cloudfront-1.tubi.video/bb1fc6ad-9948-42ea-aaf3-20acfcdeecac/playlist1080p.m3u8$publiciptv
小画面比例填充(二姨生日快乐),https://aegis-cloudfront-1.tubi.video/bb1fc6ad-9948-42ea-aaf3-20acfcdeecac/playlist720p.m3u8$publiciptv
绿屏换ijk软解码(二姨生日快乐),https://amg00793-amg00793c6-xumo-us-2669.playouts.now.amagi.tv/BBCStudios-BBCEarthA-hls/playlist1080p.m3u8$famelack
绿屏换ijk软解码(二姨生日快乐),https://aegis-cloudfront-1.tubi.video/bb1fc6ad-9948-42ea-aaf3-20acfcdeecac/playlist1080p.m3u8$publiciptv
绿屏换ijk软解码(二姨生日快乐),https://aegis-cloudfront-1.tubi.video/bb1fc6ad-9948-42ea-aaf3-20acfcdeecac/playlist720p.m3u8$publiciptv


二姨夫台(二姨生日快乐),#genre#
重温经典(二姨生日快乐),http://38.75.136.137:82/live1/jsbtv2.m3u8?id=cwjd&auth=307f889625f24f54a3c29ae310bd3317$XCDS
重温经典(二姨生日快乐),http://8.138.7.223/tv/cwjd.php$广州阿里云
重温经典(二姨生日快乐),http://116.76.254.170:44330/tsfile/live/1006_1.m3u8?key=txiptv&playlive=0&authid=0$深圳南山

#象棋微学堂https://live.iill.top/bilibili/1861371474$哔哩哔哩
#大神象棋http://live.nctv.top/douyu1.php?id=1227260
#大神象棋https://goodiptv.club/douyu/1227260
#大神象棋https://live.iill.top/douyu/1227260
#大神象棋http://222.186.39.21:35466/douyu/1227260

二姨频道(二姨生日快乐),#genre#
CCTV卫生健康(二姨生日快乐),http://tonyk.56301232.xyz:3477/rtp/239.37.0.229:5540$长春南关福祉
CCTV卫生健康(二姨生日快乐),http://38.75.136.137:82/live1/jsbtv2.m3u8?id=wsjk&auth=307f889625f24f54a3c29ae310bd3317$XCDS
CCTV卫生健康(二姨生日快乐),http://63.141.230.178:82/gslb/zbdq5.m3u8?id=wsjk$堪萨斯城1
CCTV卫生健康(二姨生日快乐),http://38.75.136.137:98/gslb/dsdqpub/wsjk.m3u8?auth=testpub$洛杉矶test
CCTV卫生健康(二姨生日快乐),http://107.150.60.122/live/wsjk.m3u8$堪萨斯城2


辽宁频道(二姨生日快乐),#genre#
辽宁卫视(二姨生日快乐),http://115.191.33.31:19531/630291707$深圳阿里标清
辽宁卫视(二姨生日快乐),http://cdn6.bkpcp.top/tl/tuiliu.php?id=lnws$VPS旧金山1
辽宁卫视(二姨生日快乐),http://63.141.230.178:82/gslb/zbdq5.m3u8?id=lnwshd$堪萨斯城1
辽宁卫视(二姨生日快乐),http://k.061899.xyz/k.php?id=lnws$VPS新加坡
辽宁卫视(二姨生日快乐),http://j.s.bkpcp.top/jj/lnws$VPS旧金山3
辽宁卫视(二姨生日快乐),http://go.bkpcp.top/mg/lnws$VPS旧金山4
辽宁卫视(二姨生日快乐),http://60.13.52.236:65500/newlive/live/hls/29/live.m3u8$兰州城关标清uni
辽宁卫视(二姨生日快乐),http://60.13.52.236:65500/newlive/live/hls/40/live.m3u8$兰州城关标清uni
辽宁卫视(二姨生日快乐),http://hlsbkmgsplive.miguvideo.com/migu/kailu/lnwshd265/55/20200407/01.m3u8?mtv_session=&HlsSubType=1&encrypt=$Q1
辽宁卫视(二姨生日快乐),http://hlsbkmgsplive.miguvideo.com/wd_r2/ocn/liaoningwshd/3000/01.m3u8?mtv_session=&HlsSubType=1&encrypt=$Q2


辽宁都市(二姨生日快乐),http://63.141.230.178:82/gslb/zbdq5.m3u8?id=lnds$堪萨斯城1
辽宁影视剧(二姨生日快乐),http://63.141.230.178:82/gslb/zbdq5.m3u8?id=lnys$堪萨斯城1
辽宁体育休闲(二姨生日快乐),http://63.141.230.178:82/gslb/zbdq5.m3u8?id=lnty$堪萨斯城1
辽宁生活(二姨生日快乐),http://63.141.230.178:82/gslb/zbdq5.m3u8?id=lnsh$堪萨斯城1
辽宁北方(二姨生日快乐),http://63.141.230.178:82/gslb/zbdq5.m3u8?id=lnbf$堪萨斯城1

辽宁卫视(二姨生日快乐),http://38.75.136.137:82/live1/jsbtv2.m3u8?id=lnwshd&auth=307f889625f24f54a3c29ae310bd3317$XCDS
辽宁北方(二姨生日快乐),http://38.75.136.137:82/live1/jsbtv2.m3u8?id=lnbf&auth=307f889625f24f54a3c29ae310bd3317$XCDS
辽宁都市(二姨生日快乐),http://38.75.136.137:82/live1/jsbtv2.m3u8?id=lnds&auth=307f889625f24f54a3c29ae310bd3317$XCDS
辽宁生活(二姨生日快乐),http://38.75.136.137:82/live1/jsbtv2.m3u8?id=lnsh&auth=307f889625f24f54a3c29ae310bd3317$XCDS
辽宁体育休闲(二姨生日快乐),http://38.75.136.137:82/live1/jsbtv2.m3u8?id=lnty&auth=307f889625f24f54a3c29ae310bd3317$XCDS
大连新闻综合(二姨生日快乐),https://livepull.dlrm.cn/dlrm/2e80d3a1-b700-48de-8186-5f704308709f.m3u8$XCDS
大连生活(二姨生日快乐),https://livepull.dlrm.cn/dlrm/e647ce9f-cb70-4ae4-ac95-40ed9bb27999.m3u8$XCDS
大连金普新闻(二姨生日快乐),http://38.75.136.137:82/live1/ady.m3u8?id=lndljp1&auth=307f889625f24f54a3c29ae310bd3317$XCDS
大连金普生活(二姨生日快乐),http://38.75.136.137:82/live1/ady.m3u8?id=lndljp2&auth=307f889625f24f54a3c29ae310bd3317$XCDS

沈阳新闻综合(二姨生日快乐),http://116.2.160.212:4010/rtp/232.0.0.206:1234$和平太原街uni
辽宁都市(二姨生日快乐),http://116.2.160.212:4010/rtp/232.0.0.154:1234$和平太原街uni
辽宁生活(二姨生日快乐),http://116.2.160.212:4010/rtp/232.0.0.150:1234$和平太原街uni
辽宁影视剧(二姨生日快乐),http://116.2.160.212:4010/rtp/232.0.0.025:1234$和平太原街uni
辽宁体育休闲(二姨生日快乐),http://116.2.160.212:4010/rtp/232.0.0.164:1234$和平太原街uni
辽宁教育青少(二姨生日快乐),http://116.2.160.212:4010/rtp/232.0.0.241:1234$和平太原街uni
辽宁北方(二姨生日快乐),http://116.2.160.212:4010/rtp/232.0.0.151:1234$和平太原街uni
辽宁经济(二姨生日快乐),http://116.2.160.212:4010/rtp/232.0.0.156:1234$和平太原街uni
辽宁公共(二姨生日快乐),http://116.2.160.212:4010/rtp/232.0.0.168:1234$和平太原街uni
