云南频道,#genre#
云南卫视,http://106.59.3.171:55555/rtp/239.200.200.145:8840$云南电信-组播1
云南都市频道,http://106.59.3.171:55555/rtp/239.200.200.12:8844$云南电信-组播1
云南娱乐频道,http://106.59.3.171:55555/rtp/239.200.200.13:8848$云南电信-组播1
云南影视频道,http://106.59.3.171:55555/rtp/239.200.200.15:8856$云南电信-组播1
云南康旅频道,http://106.59.3.171:55555/rtp/239.200.200.31:8860$云南电信-组播1
云南少儿频道,http://106.59.3.171:55555/rtp/239.200.200.32:8864$云南电信-组播1
澜湄国际频道,http://106.59.3.171:55555/rtp/239.200.200.33:8024$云南电信-组播1
云南4K频道,http://106.59.3.171:55555/rtp/239.200.200.178:8884$云南电信-组播1
楚雄新闻频道,http://106.59.3.171:55555/rtp/239.200.200.116:8708$云南电信-组播1
禄丰市电视台,http://106.59.3.171:55555/rtp/239.200.200.163:8798$云南电信-组播1
CCTV-1综合,http://106.59.3.171:55555/udp/239.200.201.135:8880$云南电信-组播1
CCTV-1综合,http://106.59.3.171:55555/udp/239.200.200.70:8008$云南电信-组播1
CCTV-1综合,http://106.59.3.171:55555/udp/239.200.200.95:8044$云南电信-组播1
CCTV-1综合,http://106.59.3.171:55555/rtp/239.200.200.2:8080$云南电信-组播1
CCTV-1综合,http://106.59.3.171:55555/rtp/239.200.200.14:8852$云南电信-组播1
CCTV-1综合,http://106.59.3.171:55555/rtp/239.200.201.45:8800$云南电信-组播1
CCTV-1综合,http://106.59.3.171:55555/rtp/239.200.200.117:8712$云南电信-组播1
CCTV-2财经,http://106.59.3.171:55555/udp/239.200.200.104:8084$云南电信-组播1
CCTV-3综艺,http://106.59.3.171:55555/udp/239.200.200.18:9008$云南电信-组播1
CCTV-4中文国际,http://106.59.3.171:55555/udp/239.200.200.128:8652$云南电信-组播1
CCTV-5体育,http://106.59.3.171:55555/udp/239.200.200.20:9016$云南电信-组播1
CCTV-5+体育赛事,http://106.59.3.171:55555/rtp/239.200.200.9:8004$云南电信-组播1
CCTV-6电影,http://106.59.3.171:55555/rtp/239.200.200.21:9020$云南电信-组播1
CCTV-7国防军事,http://106.59.3.171:55555/udp/239.200.200.105:8104$云南电信-组播1
CCTV-8电视剧,http://106.59.3.171:55555/udp/239.200.200.23:9028$云南电信-组播1
CCTV-9纪录,http://106.59.3.171:55555/udp/239.200.200.106:8112$云南电信-组播1
CCTV-10科教,http://106.59.3.171:55555/rtp/239.200.200.107:8116$云南电信-组播1
CCTV-11戏曲,http://106.59.3.171:55555/rtp/239.200.201.125:8480$云南电信-组播1
CCTV-12社会与法,http://106.59.3.171:55555/udp/239.200.200.108:8124$云南电信-组播1
